source,type,target,weight
55,undirected,3834,1
55,undirected,4138,1
56,undirected,452,1
56,undirected,660,1
56,undirected,1010,1
56,undirected,1139,1
56,undirected,1186,1
56,undirected,1471,1
56,undirected,2241,1
56,undirected,2266,1
56,undirected,2383,1
56,undirected,2590,1
56,undirected,2691,1
56,undirected,2717,1
56,undirected,3148,1
56,undirected,3630,1
56,undirected,3952,1
56,undirected,4251,1
56,undirected,5294,1
56,undirected,5371,1
56,undirected,5413,1
57,undirected,1545,2
57,undirected,3874,2
57,undirected,5431,2
58,undirected,131,1
58,undirected,275,1
58,undirected,406,1
58,undirected,449,1
58,undirected,489,2
58,undirected,557,2
58,undirected,574,1
58,undirected,699,2
58,undirected,834,2
58,undirected,1272,1
58,undirected,1449,1
58,undirected,1534,1
58,undirected,1681,1
58,undirected,1686,1
58,undirected,2315,1
58,undirected,2399,4
58,undirected,2830,1
58,undirected,2866,1
58,undirected,3169,1
58,undirected,3297,2
58,undirected,3304,1
58,undirected,3333,1
58,undirected,3441,2
58,undirected,3445,1
58,undirected,3451,3
58,undirected,3568,3
58,undirected,3734,1
58,undirected,3899,2
58,undirected,3959,1
58,undirected,4031,2
58,undirected,4038,1
58,undirected,4327,1
58,undirected,4403,1
58,undirected,4421,1
58,undirected,4451,1
58,undirected,4548,2
58,undirected,4574,1
58,undirected,4748,1
58,undirected,4826,1
58,undirected,4917,1
58,undirected,5335,1
58,undirected,5393,3
58,undirected,5497,1
59,undirected,109,1
59,undirected,190,1
59,undirected,715,1
59,undirected,1127,1
59,undirected,1130,1
59,undirected,1245,1
59,undirected,1269,1
59,undirected,2260,1
59,undirected,2432,1
59,undirected,2466,1
59,undirected,2884,1
59,undirected,2906,2
59,undirected,3507,2
59,undirected,4464,1
59,undirected,4928,1
59,undirected,4938,6
63,undirected,936,1
63,undirected,1124,2
63,undirected,1816,1
63,undirected,4233,2
65,undirected,200,1
65,undirected,2611,3
66,undirected,163,1
66,undirected,265,1
66,undirected,355,1
66,undirected,1561,1
66,undirected,2593,1
66,undirected,2599,3
66,undirected,3019,1
66,undirected,3902,1
66,undirected,4838,1
66,undirected,5323,2
66,undirected,5431,3
67,undirected,402,1
67,undirected,1405,1
67,undirected,1714,1
67,undirected,1891,1
67,undirected,1986,1
67,undirected,3545,1
67,undirected,3926,8
67,undirected,4177,1
67,undirected,4809,2
67,undirected,5272,2
67,undirected,5389,1
67,undirected,5403,1
68,undirected,313,1
68,undirected,1333,1
68,undirected,1486,2
68,undirected,1938,1
68,undirected,2083,1
68,undirected,2574,1
68,undirected,3844,2
68,undirected,4592,1
69,undirected,373,1
69,undirected,807,1
69,undirected,1463,1
69,undirected,4064,1
69,undirected,4243,1
69,undirected,4610,1
69,undirected,5253,1
71,undirected,546,1
71,undirected,1742,2
71,undirected,2652,1
71,undirected,2763,2
71,undirected,2927,1
71,undirected,3245,1
71,undirected,3246,1
71,undirected,3617,2
71,undirected,3828,1
71,undirected,4186,1
71,undirected,4642,1
71,undirected,4733,1
71,undirected,4734,1
71,undirected,4889,1
71,undirected,4920,2
71,undirected,5159,2
73,undirected,2079,1
74,undirected,172,4
74,undirected,762,3
74,undirected,1917,5
74,undirected,2184,1
74,undirected,2777,3
74,undirected,4810,3
74,undirected,5380,1
75,undirected,3418,1
75,undirected,5041,1
76,undirected,307,1
76,undirected,501,1
76,undirected,1056,1
76,undirected,2034,1
76,undirected,2582,1
76,undirected,2710,1
76,undirected,3054,1
76,undirected,3305,1
76,undirected,3947,1
76,undirected,4043,1
76,undirected,4118,1
76,undirected,4119,2
76,undirected,4418,1
76,undirected,4461,1
76,undirected,4747,1
76,undirected,4954,1
76,undirected,4988,1
76,undirected,4989,1
76,undirected,5173,1
76,undirected,5177,1
77,undirected,2731,1
77,undirected,4736,1
77,undirected,4807,1
78,undirected,161,4
78,undirected,967,1
78,undirected,1217,1
78,undirected,2106,2
78,undirected,2197,1
78,undirected,2511,1
78,undirected,3319,1
78,undirected,3391,1
78,undirected,3731,3
78,undirected,4521,2
78,undirected,4639,3
78,undirected,5353,1
79,undirected,1272,1
79,undirected,4390,1
80,undirected,5195,1
81,undirected,2902,1
81,undirected,3411,1
81,undirected,3808,1
82,undirected,3246,1
82,undirected,4186,1
82,undirected,4889,1
83,undirected,1603,1
83,undirected,5178,1
84,undirected,4245,1
85,undirected,1531,1
85,undirected,1805,1
85,undirected,1943,1
85,undirected,1951,1
85,undirected,2321,1
85,undirected,2606,1
85,undirected,3294,1
85,undirected,3451,2
85,undirected,3568,1
85,undirected,3585,1
85,undirected,3889,1
85,undirected,4088,1
85,undirected,4820,1
85,undirected,5244,1
85,undirected,5321,1
86,undirected,4601,1
87,undirected,2902,1
87,undirected,3808,1
87,undirected,4178,1
88,undirected,894,1
88,undirected,3220,1
88,undirected,3303,1
88,undirected,4164,1
88,undirected,5543,1
89,undirected,936,1
89,undirected,4047,1
92,undirected,808,1
92,undirected,1567,1
92,undirected,1632,1
92,undirected,4799,1
93,undirected,127,1
93,undirected,398,1
93,undirected,4781,1
93,undirected,5431,1
94,undirected,5362,1
94,undirected,5431,1
95,undirected,1546,1
95,undirected,4799,1
96,undirected,278,1
96,undirected,1244,1
96,undirected,1370,1
96,undirected,1993,1
96,undirected,4571,1
96,undirected,5426,1
97,undirected,665,2
97,undirected,3634,1
98,undirected,883,1
98,undirected,3350,1
98,undirected,3578,1
99,undirected,1760,1
99,undirected,5238,1
100,undirected,3358,1
100,undirected,5238,1
101,undirected,987,2
103,undirected,375,1
103,undirected,629,2
103,undirected,648,1
103,undirected,717,1
103,undirected,1739,2
103,undirected,2927,1
103,undirected,3245,1
103,undirected,3246,1
103,undirected,4186,1
103,undirected,4889,1
103,undirected,5087,1
103,undirected,5272,1
104,undirected,301,1
104,undirected,303,1
104,undirected,2815,1
104,undirected,3418,1
104,undirected,3466,1
106,undirected,159,1
106,undirected,540,1
106,undirected,853,1
106,undirected,943,1
106,undirected,1156,1
106,undirected,1787,1
106,undirected,3192,1
106,undirected,3279,1
106,undirected,3511,1
106,undirected,3953,1
106,undirected,4132,1
106,undirected,4249,1
106,undirected,4485,1
106,undirected,4906,1
109,undirected,715,1
109,undirected,4928,1
109,undirected,4938,1
112,undirected,4303,1
114,undirected,1535,1
114,undirected,1968,1
114,undirected,3162,1
114,undirected,3209,1
114,undirected,4839,1
114,undirected,4925,1
115,undirected,313,1
115,undirected,314,1
115,undirected,863,1
115,undirected,900,1
115,undirected,1157,1
115,undirected,1158,1
115,undirected,1477,1
115,undirected,1659,1
