,docs_id,doc_code,pub_year,doi,pages,publication,journal_name,volume_in_pages,dbases_count,Scopus,SCIE,ICONDA,IndexCopernicus,INSPEC,Academic_Search_Complete,DOAJ,SSCI,VINITI,Business_Source_Complete,other_dbases,res_fields_1,res_fields_2,res_fields_3,final_index
27,3104078,S5,2010,0,319-324,  . Matematikos mokymosi objektų daugkartinio panaudojamumo kokybės vertinimas eQNet projekte.,Lietuvos matematikos rinkinys: Lietuvos matematikų draugijos darbai,5,0,0,0,0,0,0,0,0,0,0,0,0,N 001,N 009,T 007,318.0
28,3108582,S5,2010,0,89-96,", &  . The effect of real estate speculation on the growth of economics in Lithuania.",Економічний вісник Донбасу: науковий журнал,7,0,0,0,0,0,0,0,0,0,0,0,0,S 003,,,1370.0
29,3155605,S3,2010,1,151-160, . Iracionalumo apraiškos xx a. užsienio ir Lietuvos architektūroje.,Urbanistika ir architektūra,9,5,1,0,1,0,0,0,0,0,0,0,3,H 003,,,1290.0
30,3165522,S5,2010,0,312-318,", , , &  . Hydration of portland cement paste with addition of low quantity of hydrosodalite.",Energia i šrodowisko w technologiach larskich i ogniotrwalych,6,0,0,0,0,0,0,0,0,0,0,0,0,T 002,T 008,,675.0
31,3245166,S5,2010,0,12-15,  (sudaryt.) . Išsaugokime protėvių dvasią ateinančioms kartoms : Veisiejų regioninio parko sodybos.,Aplinka: linka,3,0,0,0,0,0,0,0,0,0,0,0,0,H 003,,,526.0
32,3249265,S4,2010,0,91-114,", &  . Learning content and software evaluation and personalisation problems.",Informatics in education,23,4,1,0,0,0,1,0,0,0,0,0,2,T 007,N 001,N 009,216.0
33,3249889,S1,2010,1,821-833,", , , , , , , &  . Biometric and intelligent self-assessment of student progress system.",Computers & Education,12,2,0,1,0,0,0,0,0,0,0,0,1,S 003,S 007,,111.0
34,3892082,S1,2010,1,52-63,", , , , &  . Parallel discrete element simulation of poly-dispersed granular material.",Advances in Engineering Software,11,5,0,1,0,0,1,0,0,0,0,0,3,T 007,T 009,,29.0
35,3893038,S6,2010,0,1-23,",   . Priėmimo į pirmosios pakopos ir vientisąsias studijas rezultatai antraisiais mokslo ir studijų metais.",Gedimino universitetas,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,711.0
36,3893617,S3,2010,1,81-84, . Mobilaus duomenų perdavimo sistemų paslaugų pasiekiamumo užtikrinimo tyrimas.,Mokslas – Lietuvos ateitis,3,1,0,0,0,1,0,0,0,0,0,0,0,T 001,,,0.0
37,3895315,S5,2010,0,81-84, . Ričardas Gavelis (8 November 1950 - 18 August 2002).,Twenty-first-century Central and Eastern European writers,3,0,0,0,0,0,0,0,0,0,0,0,0,H 003,,,130.0
